strategy,ticker,target_weight,current_value,target_value,trade_dollars,approx_price_used,approx_shares_to_trade,action
selected_weekly_floor25_redirect100,NBIS,0.2645369112523148,46168.91,73733.35745161849,27564.447451618486,232.00457286432163,118.80993168069331,BUY
selected_weekly_floor25_redirect100,QQQ,0.25,68893.2,69681.54,788.3399999999965,725.1915789473684,1.0870782602637077,BUY
selected_weekly_floor25_redirect100,MU,0.19808000424216204,27999.61,55210.078955201534,27210.468955201533,1037.0225925925927,26.2390319647467,BUY
selected_weekly_floor25_redirect100,NVDA,0.07724106938290451,19759.61,21529.106663390543,1769.4966633905424,197.57634236576342,8.956014886209198,BUY
selected_weekly_floor25_redirect100,DRAM,0.07415926108107548,20424.36,20670.126069565616,245.7660695656159,66.31070419791565,3.7062804948064643,BUY
selected_weekly_floor25_redirect100,GLD,0.04745141602507944,0.0,13225.950975232856,13225.950975232856,370.6000061035156,35.687940521886006,BUY
selected_weekly_floor25_redirect100,GEV,0.030609604990380183,0.0,8531.697658085504,8531.697658085504,1134.3499755859375,7.521221705566255,BUY
selected_weekly_floor25_redirect100,SMCI,0.030309318651683074,8355.0,8448.0,93.0,27.85,3.3393177737881508,BUY
selected_weekly_floor25_redirect100,AMD,0.027612414374400554,0.0,7696.302226905468,7696.302226905468,540.8800048828125,14.229223039171055,BUY
alt_weekly_floor15_redirect50,QQQ,0.25,68893.2,69681.54,788.3399999999965,725.1915789473684,1.0870782602637077,BUY
alt_weekly_floor15_redirect50,NBIS,0.20726845562615745,46168.91,57771.14072580926,11602.230725809255,232.00457286432163,50.00862949625715,BUY
alt_weekly_floor15_redirect50,MU,0.19808000424216202,27999.61,55210.07895520153,27210.468955201526,1037.0225925925927,26.239031964746694,BUY
alt_weekly_floor15_redirect50,NVDA,0.10989554962077228,19759.61,30630.76454688731,10871.154546887308,197.57634236576342,55.02255187395904,BUY
alt_weekly_floor15_redirect50,DRAM,0.07415926108107546,20424.36,20670.12606956561,245.76606956560863,66.31070419791565,3.706280494806354,BUY
alt_weekly_floor15_redirect50,GLD,0.047451416025079435,0.0,13225.950975232854,13225.950975232854,370.6000061035156,35.687940521886,BUY
alt_weekly_floor15_redirect50,GEV,0.043550139724464705,0.0,12138.563212863504,12138.563212863504,1134.3499755859375,10.700897848209012,BUY
alt_weekly_floor15_redirect50,AMD,0.03928585502860571,0.0,10949.99551443996,10949.99551443996,540.8800048828125,20.24477779838135,BUY
alt_weekly_floor15_redirect50,SMCI,0.030309318651683074,8355.0,8448.0,93.0,27.85,3.3393177737881508,BUY
alt_monthly_floor15_redirect50,QQQ,0.25,68893.2,69681.54,788.3399999999965,725.1915789473684,1.0870782602637077,BUY
alt_monthly_floor15_redirect50,NBIS,0.20726845562615745,46168.91,57771.14072580926,11602.230725809255,232.00457286432163,50.00862949625715,BUY
alt_monthly_floor15_redirect50,MU,0.19808000424216202,27999.61,55210.07895520153,27210.468955201526,1037.0225925925927,26.239031964746694,BUY
alt_monthly_floor15_redirect50,NVDA,0.10989554962077228,19759.61,30630.76454688731,10871.154546887308,197.57634236576342,55.02255187395904,BUY
alt_monthly_floor15_redirect50,DRAM,0.07415926108107546,20424.36,20670.12606956561,245.76606956560863,66.31070419791565,3.706280494806354,BUY
alt_monthly_floor15_redirect50,GLD,0.047451416025079435,0.0,13225.950975232854,13225.950975232854,370.6000061035156,35.687940521886,BUY
alt_monthly_floor15_redirect50,GEV,0.043550139724464705,0.0,12138.563212863504,12138.563212863504,1134.3499755859375,10.700897848209012,BUY
alt_monthly_floor15_redirect50,AMD,0.03928585502860571,0.0,10949.99551443996,10949.99551443996,540.8800048828125,20.24477779838135,BUY
alt_monthly_floor15_redirect50,SMCI,0.030309318651683074,8355.0,8448.0,93.0,27.85,3.3393177737881508,BUY
