ticker,post_drop_value,target_value,trade_dollars,post_drop_weight,target_weight
NBIS,64037.829683118565,64612.638574274955,574.80889115639,0.25300872139180003,0.2552797487410366
QQQ,60518.803765383986,61062.025586901495,543.2218215175089,0.23910531066728977,0.24125153984423672
MU,47950.25962631133,48380.66514915382,430.40552284249134,0.18944792380520092,0.19114842414309813
NVDA,18698.14848244963,18865.984620074196,167.83613762456662,0.07387499956429226,0.07453810771136496
SNDK,17952.11907500594,18113.25879055336,161.13971554741875,0.07092749263858882,0.07156414371808094
GEV,7409.826710994946,7476.337932510169,66.51122151522304,0.029275676442511504,0.029538457351812205
SMCI,7337.134830974803,7402.99356412249,65.85873314768742,0.028988476209298245,0.029248679185392746
AMD,6684.281148051261,6744.279812183093,59.9986641318319,0.026409099669059927,0.02664614994656508
BIL,0.0,0.0,0.0,0.0,0.0
VRT,0.0,0.0,0.0,0.0,0.0
VST,0.0,0.0,0.0,0.0,0.0
CEG,0.0,0.0,0.0,0.0,0.0
ANET,0.0,0.0,0.0,0.0,0.0
STX,0.0,0.0,0.0,0.0,0.0
MRVL,0.0,0.0,0.0,0.0,0.0
INTC,0.0,0.0,0.0,0.0,0.0
AVGO,0.0,0.0,0.0,0.0,0.0
CASH,9290.872000000001,8436.840876584112,-854.0311234158889,0.03670754703847423,0.03333333333333334
GLD,13225.950975232856,12010.201391165656,-1215.7495840672,0.05225475257348439,0.04745141602507944
